name,description,suggested_prompts
1,"It's talent show time! Let's shine with singing, dancing, magic, and more!",Talent show in local high school
2,Science fair success stories! Show off your innovative projects and experiments! ,Science fair winner at reception ceremony
3,Check the carnival day on campus today! # Carnival day,Roller coaster in adventure park
4,Check out the latest apple watch! It looks amazing! ,The latest apple watch
5,Stanley stumbler is a hit these days. Nearly everyone in school has one.,People in school holding Stanley stumbler
6,Barnes and Noble is closing it’s store in Atlanta due to bad revenue.,Book store in Atlanta
7,We are sightseeing in National park in California,National park
8,It's cherry season again. People were enjoying cherry picking! ,Cherry picking in the Atlanta
9,It’s peach season again. Farmers are selling their own bread of peach in the farmer’s market,Many different kinds of peaches in the market
10,Emily Hudson won the basketball game in Midtown High.,A tall girl who wins school basketball game
11,"Let's create masterpieces in art class! Vibrant paintings, intricate drawings, and unique sculptures await!",Kids paint in oil in school
12, Bake-off challenge accepted! Who can whip up the most delicious treats?,Baking competition happening 
13,This cat won the world cat’s champaign this year,The most beautiful cat in the world
14,Dive into the science museum with me! Hands-on exhibits and mind-blowing discoveries!,Kids having fun in local science museum.
15,"Game night with friends! Board games, card games, and video games galore! #GameNight",Kids playing switch on sofa
16,People are crazy about the latest Zelda release!,Zelda game release in Game Station
17,Dress to impress and hit the dance floor with friends! #SchoolDanceFun,Spring school gala
18, Dive into our book club meeting! Discuss favorite reads and share recommendations! ,Book club in high school
19,Celebrate a sports team victory! Hard work pays off on the field or court! #TeamTriumph,Sports season 
20,The most expensive burger made of gold,The most expensive burger made of gold
